,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
23,23,150.2818522,2022-06-25 22:47:28.859582,2022-06-26 00:56:23.684669,0 days 02:08:54.825087,tanh,16,0.2,1.0735807423346631e-06,0.92,0.9999,0.0002556982505330485,0.9,10,128,medium,0.4638039236651296,478.31572239999997,150.2818522,,PRUNED
24,24,382.9201318,2022-06-25 22:53:34.209700,2022-06-26 00:18:49.639944,0 days 01:25:15.430244,tanh,64,0.2,2.6500041279066696e-05,0.8,0.98,2.2394118501437015e-05,0.6,10,32,medium,0.8529527933144037,435.030813,382.9201318,,PRUNED
25,25,411.7304848,2022-06-25 22:57:51.950399,2022-06-26 01:12:48.607937,0 days 02:14:56.657538,relu,256,0.1,0.00011899706961671985,0.92,0.99,0.0005494553144929377,2.0,10,512,medium,0.8565383483653256,629.121605,1098.8850198,411.7304848,PRUNED
26,26,165.80101019999998,2022-06-25 23:53:31.599951,2022-06-26 00:06:28.157090,0 days 00:12:56.557139,tanh,32,0.3,0.051044190479465984,0.92,0.98,0.0010486893032382936,0.7,1,8,medium,0.5145203452153774,165.80101019999998,,,PRUNED
27,27,-28.0408478,2022-06-26 00:06:28.157761,2022-06-26 00:15:25.705315,0 days 00:08:57.547554,relu,256,0.4,1.6868322975220976e-06,0.9,0.995,0.055485119549529664,2.0,5,128,small,0.3526992300182903,-28.0408478,,,PRUNED
28,28,206.6023174,2022-06-26 00:15:25.706081,2022-06-26 00:44:22.996154,0 days 00:28:57.290073,tanh,16,0.3,1.557720947440706e-08,0.99,0.9,1.2395766360254703e-05,1.0,10,128,medium,0.6008865614250749,206.6023174,,,PRUNED
29,29,-7.166620400000001,2022-06-26 00:18:49.640586,2022-06-26 00:47:37.657978,0 days 00:28:48.017392,relu,256,0.2,1.1051698913413832e-07,0.92,0.999,0.062034551730969736,0.5,10,16,medium,0.6492250341138358,-7.166620400000001,,,PRUNED
30,30,718.4931442,2022-06-26 00:44:22.996867,2022-06-26 01:28:46.453671,0 days 00:44:23.456804,tanh,512,0.3,9.795382670087209e-08,0.99,0.99,0.00014208307663893962,0.5,5,64,small,0.21564681042923775,425.8271256,718.4931442,,PRUNED
31,31,280.696447,2022-06-26 00:47:37.658883,2022-06-26 00:57:11.646840,0 days 00:09:33.987957,relu,32,0.4,1.483882166110973e-08,1.0,0.95,4.6905378428942885e-05,0.8,1,1024,small,0.006854909882945349,280.696447,,,PRUNED
32,32,81.9709838,2022-06-26 00:56:23.686127,2022-06-26 01:06:11.709897,0 days 00:09:48.023770,tanh,128,0.2,0.01777570801394454,0.8,0.99,0.097926104450525,0.3,5,128,small,0.9350960262117304,81.9709838,,,PRUNED
33,33,109.84002760000001,2022-06-26 00:57:11.647467,2022-06-26 02:00:58.009256,0 days 01:03:46.361789,tanh,128,0.4,0.0017551592903167093,0.92,0.995,0.0001657467034573592,0.5,20,16,medium,0.3650427507519576,109.84002760000001,,,PRUNED
34,34,370.0309811999999,2022-06-26 01:06:11.710474,2022-06-26 01:19:53.867254,0 days 00:13:42.156780,tanh,128,0.2,0.00047422835930840913,0.9,0.95,1.8046882746685946e-05,0.6,20,256,medium,0.46483292148159266,370.0309811999999,,,PRUNED
35,35,390.43373060000005,2022-06-26 01:12:48.610334,2022-06-26 01:23:55.856276,0 days 00:11:07.245942,relu,256,0.1,1.5782093898723188e-08,0.92,0.995,6.536669091200332e-05,0.9,5,64,medium,0.9172479317956475,390.43373060000005,,,PRUNED
36,36,553.4438602000001,2022-06-26 01:19:53.867823,2022-06-26 01:54:40.047061,0 days 00:34:46.179238,relu,32,0.1,0.0026346149046352317,0.9,0.995,8.276795525860314e-05,0.5,1,512,medium,0.12000459862837344,1026.1823406,553.4438602000001,,PRUNED
37,37,357.29144040000006,2022-06-26 01:23:55.856976,2022-06-26 01:44:53.276565,0 days 00:20:57.419589,tanh,16,0.3,0.0009353578240809671,0.9,0.99,6.248604305475012e-05,0.5,5,2048,medium,0.26255240025487325,357.29144040000006,,,PRUNED
38,38,553.5019698,2022-06-26 01:28:46.454288,2022-06-26 03:53:07.879433,0 days 02:24:21.425145,relu,128,0.3,7.529508387839127e-07,0.9,0.995,0.0008858250742469312,0.7,1,256,medium,0.79591163776193,686.5402426,855.3065536,752.9799008,COMPLETE
39,39,154.20193319999998,2022-06-26 01:44:53.278055,2022-06-26 01:56:42.094434,0 days 00:11:48.816379,relu,128,0.3,7.381096532395755e-08,0.98,0.995,2.660229317567973e-05,0.9,10,256,small,0.9321395100932093,154.20193319999998,,,PRUNED
40,40,106.514758,2022-06-26 01:54:40.047681,2022-06-26 02:28:34.759822,0 days 00:33:54.712141,relu,128,0.1,8.521721970557479e-05,0.9,0.995,0.0006990159171626703,0.8,20,32,small,0.4414223910232093,106.514758,,,PRUNED
41,41,335.4097902,2022-06-26 01:56:42.095081,2022-06-26 02:04:44.707967,0 days 00:08:02.612886,tanh,64,0.4,5.088411048159173e-06,0.92,0.98,0.013312003664914767,0.7,1,512,small,0.7953380467622124,335.4097902,,,PRUNED
42,42,77.34531059999999,2022-06-26 02:00:58.009893,2022-06-26 02:21:20.374529,0 days 00:20:22.364636,tanh,32,0.3,0.0843818470260888,0.92,0.95,0.0009417875460091105,0.7,10,128,medium,0.28744636085524966,77.34531059999999,,,PRUNED
43,43,,2022-06-26 02:04:44.708806,2022-06-26 02:05:31.354612,0 days 00:00:46.645806,relu,256,0.1,1.0313244013098148e-05,0.98,0.999,0.2856039541719234,5.0,5,16,medium,0.9563144396495026,,,,PRUNED
44,44,,2022-06-26 02:05:31.355473,2022-06-26 02:05:51.671805,0 days 00:00:20.316332,relu,512,0.4,0.0006877235646722734,0.9,0.999,0.6470281415444826,0.5,5,16,medium,0.006695255999872641,,,,PRUNED
45,45,208.590663,2022-06-26 02:05:51.672759,2022-06-26 02:19:34.633256,0 days 00:13:42.960497,tanh,64,0.1,3.601864132337874e-07,0.95,0.999,0.0027849548578230982,1.0,10,256,small,0.8975020422674778,208.590663,,,PRUNED
46,46,550.008899,2022-06-26 02:19:34.633920,2022-06-26 03:18:02.070230,0 days 00:58:27.436310,relu,128,0.4,5.772340353908714e-07,0.95,0.99,0.00010895413204342798,0.8,10,64,small,0.7844620769357668,505.7393313999999,550.008899,,PRUNED
47,47,,2022-06-26 02:21:20.375422,2022-06-26 02:21:41.239750,0 days 00:00:20.864328,tanh,8,0.2,0.016973968625366792,0.9,0.95,0.14033616581254899,0.9,5,512,medium,0.25793176691147435,,,,PRUNED
48,48,91.6383302,2022-06-26 02:21:41.240312,2022-06-26 04:10:06.619771,0 days 01:48:25.379459,tanh,8,0.4,0.00011423583481018342,0.99,0.999,0.05785248447388613,0.5,20,256,medium,0.3476937245618882,91.6383302,,,PRUNED
49,49,124.12068599999998,2022-06-26 02:28:34.760514,2022-06-26 03:02:54.573755,0 days 00:34:19.813241,tanh,256,0.4,1.3325310349105807e-08,0.99,0.99,0.002347653446354135,2.0,5,1024,medium,0.7770692221180155,477.14103220000004,124.12068599999998,,PRUNED
50,50,32.095809200000005,2022-06-26 03:02:54.574330,2022-06-26 03:22:00.117896,0 days 00:19:05.543566,tanh,16,0.3,0.0023932683361751286,0.92,0.99,0.00637681232127507,2.0,5,256,medium,0.6788014889842623,32.095809200000005,,,PRUNED
51,51,321.8190604,2022-06-26 03:18:02.070897,2022-06-26 03:31:45.562386,0 days 00:13:43.491489,relu,128,0.2,1.1154529205969594e-07,0.99,0.98,1.0672142537656063e-05,5.0,20,512,medium,0.5146592522839906,321.8190604,,,PRUNED
52,52,-5.6606098000000005,2022-06-26 03:22:00.118405,2022-06-26 03:32:27.560147,0 days 00:10:27.441742,tanh,64,0.1,1.0763119260452747e-07,0.8,0.99,0.15071544502147294,0.7,5,256,medium,0.18759732211069993,-5.6606098000000005,,,PRUNED
53,53,-7.2952174,2022-06-26 03:31:45.563135,2022-06-26 03:53:37.408961,0 days 00:21:51.845826,tanh,128,0.2,2.2880344044349617e-05,0.99,0.95,0.003249480295069334,0.7,10,32,medium,0.817175984269625,-7.2952174,,,PRUNED
54,54,299.75493919999997,2022-06-26 03:32:27.560977,2022-06-26 04:02:21.705404,0 days 00:29:54.144427,tanh,32,0.2,0.0026467519073654277,0.98,0.95,0.00029692730622581505,0.5,1,256,small,0.23941835724355157,427.2072354,299.75493919999997,,PRUNED
55,55,385.56036919999997,2022-06-26 03:53:07.880366,2022-06-26 04:20:39.421174,0 days 00:27:31.540808,relu,32,0.2,1.0511278099168306e-07,0.9,0.999,0.0010310617564049298,0.3,10,16,medium,0.5185410798796103,385.56036919999997,,,PRUNED
56,56,,2022-06-26 03:53:37.409640,2022-06-26 03:53:44.542402,0 days 00:00:07.132762,relu,256,0.2,0.0021530062677766423,0.9,0.995,0.6397599035373185,0.9,10,32,medium,0.23582830459621443,,,,PRUNED
